date,lfalls_sim
2017-01-01,5778.28333333333
2017-01-02,5916.28333333333
2017-01-03,7731.87916666667
2017-01-04,10051.8666666667
2017-01-05,11090.4166666667
2017-01-06,11822.4166666667
2017-01-07,12854.5
2017-01-08,13173.875
2017-01-09,12462.0833333333
2017-01-10,11352.5416666667
2017-01-11,10522.2916666667
2017-01-12,10105.1833333333
2017-01-13,9859.32083333333
2017-01-14,10391.1166666667
2017-01-15,11559.25
2017-01-16,11733.375
2017-01-17,11408.9583333333
2017-01-18,11254.625
2017-01-19,11537.7083333333
2017-01-20,11971.4166666667
2017-01-21,12156.6666666667
2017-01-22,11721.9583333333
2017-01-23,12567.2916666667
2017-01-24,19383.4166666667
2017-01-25,25984.4166666667
2017-01-26,28391.5833333333
2017-01-27,26175.1666666667
2017-01-28,22329.5
2017-01-29,19179.75
2017-01-30,16959.7916666667
2017-01-31,15127.375
2017-02-01,13600.0833333333
2017-02-02,12339.625
2017-02-03,11220.8333333333
2017-02-04,10348.1666666667
2017-02-05,9748.9125
2017-02-06,9216.10833333333
2017-02-07,8691.78333333333
2017-02-08,8187.1625
2017-02-09,8134.2
2017-02-10,8796.74166666667
2017-02-11,9867.76666666667
2017-02-12,10646.5833333333
2017-02-13,10901.3333333333
2017-02-14,11470.25
2017-02-15,13296.4583333333
2017-02-16,14059.375
2017-02-17,12919.8333333333
2017-02-18,11379.0416666667
2017-02-19,10010.375
2017-02-20,8892.12083333333
2017-02-21,7985.52916666667
2017-02-22,7352.9375
2017-02-23,6814.62083333333
2017-02-24,6366.4375
2017-02-25,5937.29583333333
2017-02-26,5608.14166666667
2017-02-27,5292.64583333333
2017-02-28,5003.5375
2017-03-01,5086.425
2017-03-02,5071.87083333333
2017-03-03,5388.49166666667
2017-03-04,6580.92083333333
2017-03-05,8768.57083333333
2017-03-06,8566.525
2017-03-07,7620.35
2017-03-08,6966.5875
2017-03-09,6447.74166666667
2017-03-10,6127.9375
2017-03-11,6142.80833333333
2017-03-12,6342.96666666667
2017-03-13,6422.50416666667
2017-03-14,6485.27083333333
2017-03-15,6235.25416666667
2017-03-16,5918.34166666667
2017-03-17,5837.39166666667
2017-03-18,6362.4
2017-03-19,8887.82083333333
2017-03-20,11795.5833333333
2017-03-21,14877.1666666667
2017-03-22,15727.3333333333
2017-03-23,14439.0416666667
2017-03-24,12803.125
2017-03-25,11736.875
2017-03-26,10990.7083333333
2017-03-27,10244.3291666667
2017-03-28,10136.4166666667
2017-03-29,10426.75
2017-03-30,11366.125
2017-03-31,16341.875
2017-04-01,23536.875
2017-04-02,22254.6666666667
2017-04-03,20149.6666666667
2017-04-04,18698.9166666667
2017-04-05,16952.2916666667
2017-04-06,18286.7083333333
2017-04-07,22073.125
2017-04-08,22046.9583333333
2017-04-09,19752.7083333333
2017-04-10,17789.6666666667
2017-04-11,15798.25
2017-04-12,13968.9166666667
2017-04-13,12348.125
2017-04-14,10943.7083333333
2017-04-15,9808.49583333333
2017-04-16,8921.075
2017-04-17,8188.84166666667
2017-04-18,7724.9
2017-04-19,7347.96666666667
2017-04-20,7010.8625
2017-04-21,6905.10416666667
2017-04-22,7088.69583333333
2017-04-23,7314.8375
2017-04-24,7204.25833333333
2017-04-25,6997.66666666667
2017-04-26,6622.2875
2017-04-27,6366.20416666667
2017-04-28,6858.52916666667
2017-04-29,7104.95
2017-04-30,6834.80833333333
2017-05-01,6513.45416666667
2017-05-02,5703.65
2017-05-03,5244.6875
2017-05-04,6199.29166666667
2017-05-05,7328.16666666667
2017-05-06,8706.05
2017-05-07,10390.9083333333
2017-05-08,11857.8333333333
2017-05-09,12746.0833333333
2017-05-10,13347
2017-05-11,12749.5833333333
2017-05-12,12133.25
2017-05-13,11194.5416666667
2017-05-14,10134.1916666667
2017-05-15,9110.70416666667
2017-05-16,8189.12916666667
2017-05-17,7438.45416666667
2017-05-18,6778.01666666667
2017-05-19,6150.94583333333
2017-05-20,5558.275
2017-05-21,5084.56666666667
2017-05-22,5028.86666666667
2017-05-23,4581.59166666667
2017-05-24,4411.06666666667
2017-05-25,5441.05416666667
2017-05-26,6390.67916666667
2017-05-27,7874.9125
2017-05-28,9783.65
2017-05-29,10645.9166666667
2017-05-30,11404.5
2017-05-31,12274.9166666667
2017-06-01,11701.375
2017-06-02,11180.2916666667
2017-06-03,10459.6666666667
2017-06-04,9614.275
2017-06-05,8747.1375
2017-06-06,7895.53333333333
2017-06-07,7150.75416666667
2017-06-08,6478.59166666667
2017-06-09,5857.43333333333
2017-06-10,5301.05833333333
2017-06-11,4813.89166666667
2017-06-12,4400.575
2017-06-13,4016.42083333333
2017-06-14,3680.2875
2017-06-15,3450.2125
2017-06-16,3205.99583333333
2017-06-17,3054.19583333333
2017-06-18,2984.8
2017-06-19,3577.39583333333
2017-06-20,4357.57916666667
2017-06-21,4642.375
2017-06-22,4946.77083333333
2017-06-23,4954.82083333333
2017-06-24,4988.27916666667
2017-06-25,5017.85416666667
2017-06-26,5125.00416666667
2017-06-27,6072.63333333333
2017-06-28,7257.975
2017-06-29,6815.45833333333
2017-06-30,5888.58333333333
2017-07-01,5081.22916666667
2017-07-02,4429.5625
2017-07-03,3857.65
2017-07-04,3395.77916666667
2017-07-05,3331.58333333333
2017-07-06,5650.94166666667
2017-07-07,6362.03333333333
2017-07-08,5675.91666666667
2017-07-09,5020.35833333333
2017-07-10,4761.78333333333
2017-07-11,4602.83333333333
2017-07-12,4515.82083333333
2017-07-13,4295.37083333333
2017-07-14,4164.0875
2017-07-15,3908.00833333333
2017-07-16,3403.64583333333
2017-07-17,3116.45833333333
2017-07-18,3059.5875
2017-07-19,3132.67083333333
2017-07-20,2808.20833333333
2017-07-21,2661.14166666667
2017-07-22,2815.15833333333
2017-07-23,3551.14583333333
2017-07-24,3851.575
2017-07-25,3311.6375
2017-07-26,3079.36666666667
2017-07-27,2847.97083333333
2017-07-28,3689.77916666667
2017-07-29,3665.04166666667
2017-07-30,3602.9375
2017-07-31,3367.0375
2017-08-01,3090.79166666667
2017-08-02,2833.53333333333
2017-08-03,2622.75
2017-08-04,2454.9
2017-08-05,2294.36666666667
2017-08-06,2197.175
2017-08-07,2063.07916666667
2017-08-08,1933.30833333333
